#,Company,Symbol,Headquarter,Sector,Portfolio%,      Price,Chg,% Chg
98,"Palo Alto Networks, Inc.",PANW,"Santa Clara, California, USA",Information Technology,0.22%,261.52,2.12,-0.82%
99,Cme Group Inc.,CME,"Chicago, Illinois, USA",Financials,0.22%,218.82,-0.56,(-0.26%)
100,The Charles Schwab Corporation,SCHW,"Westlake, Texas, USA",Financials,0.21%,53.72,2.39,-4.66%
101,American Tower Corporation,AMT,"Boston, Massachusetts, USA",Real Estate,0.21%,169.18,2.22,-1.33%
102,"Micron Information Technology, Inc.",MU,"Boise, Idaho, USA",Information Technology,0.21%,69.08,-0.13,(-0.19%)
103,Synopsys Inc,SNPS,"Mountain View, California, USA",Information Technology,0.21%,491.96,2.13,-0.43%
104,"Eog Resources, Inc.",EOG,"Houston, Texas, USA",Energy,0.21%,134.03,0.19,-0.14%
105,"Altria Group, Inc.",MO,"Richmond, Virginia, USA",Consumer Staples,0.21%,42.87,0.21,-0.49%
106,"Becton, Dickinson and Co.",BDX,"Franklin Lakes, New Jersey, USA",Health Care,0.20%,259.75,1.05,-0.41%
107,Blackstone Inc.,BX,"New York, New York, USA",Financials,0.20%,104.54,0.74,-0.71%
108,"T-Mobile Us, Inc.",TMUS,"Bellevue, Washington, USA",Communication Services,0.20%,143.24,1.57,-1.11%
109,The Southern Company,SO,"Atlanta, Georgia, USA",Utilities,0.20%,67.5,0.95,-1.43%
110,Boston Scientific Corp.,BSX,"Marlborough, Massachusetts, USA",Health Care,0.20%,50.1,0.58,-1.17%
111,"Equinix, Inc. Reit",EQIX,"Redwood City, California, USA",Real Estate,0.19%,751.41,8.77,-1.18%
112,"Fiserv, Inc.",FI,"Brookfield, Wisconsin, USA",Information Technology,0.19%,113.58,1.1,-0.98%
113,Cadence Design Systems,CDNS,"San Jose, California, USA",Information Technology,0.19%,251.42,1.17,-0.47%
114,Kla Corporation,KLAC,"Milpitas, California, USA",Information Technology,0.19%,491.21,4.4,-0.90%
115,Northrop Grumman Corp.,NOC,"Falls Church, Virginia, USA",Industrials,0.19%,489.07,-1.08,(-0.22%)
116,Duke Energy Corporation,DUK,"Charlotte, North Carolina, USA",Utilities,0.19%,89.46,0.78,-0.88%
117,Activision Blizzard Inc.,ATVI,"Santa Monica, California, USA",Communication Services,0.18%,94.51,0.09,-0.09%
118,Aon Plc Class A,AON,"London, United Kingdom",Financials,0.18%,327.74,1.64,-0.50%
119,Illinois Tool Works Inc.,ITW,"Glenview, Illinois, USA",Industrials,0.18%,233.61,2.11,-0.91%
120,"Air Products & Chemicals, Inc.",APD,"Allentown, Pennsylvania, USA",Materials,0.17%,287.12,1.66,-0.58%
121,Intercontinental Exchange Inc.,ICE,"Atlanta, Georgia, USA",Financials,0.17%,111.92,1.49,-1.35%
122,Csx Corporation,CSX,"Jacksonville, Florida, USA",Industrials,0.17%,31.41,0.27,-0.87%
123,Mckesson Corporation,MCK,"Irving, Texas, USA",Health Care,0.17%,455.29,-7.27,(-1.57%)
124,Humana Inc.,HUM,"Louisville, Kentucky, USA",Health Care,0.17%,524.21,18.24,-3.60%
125,"Paypal Holdings, Inc.",PYPL,"San Jose, California, USA",Information Technology,0.17%,56.98,1.23,-2.21%
126,Marathon Petroleum Corporation,MPC,"Findlay, Ohio, USA",Energy,0.16%,150.75,2.55,-1.72%
127,The Sherwin-Williams Company,SHW,"Cleveland, Ohio, USA",Materials,0.16%,252.37,5.43,-2.20%
128,Fedex Corporation,FDX,"Memphis, Tennessee, USA",Industrials,0.16%,247.56,4.72,-1.94%
129,Colgate-Palmolive Company,CL,"New York, New York, USA",Consumer Staples,0.16%,72.15,1.2,-1.69%
130,"Waste Management, Inc.",WM,"Houston, Texas, USA",Industrials,0.16%,159.84,1.03,-0.65%
131,Pioneer Natural Resource Co.,PXD,"Irving, Texas, USA",Energy,0.15%,248.76,0.47,-0.19%
132,"O'reilly Automotive, Inc.",ORLY,"Springfield, Missouri, USA",Consumer Discretionary,0.15%,945.3,18.84,-2.03%
133,Emerson Electric Co.,EMR,"Ferguson, Missouri, USA",Industrials,0.15%,96.35,1.59,-1.68%
134,"Airbnb, Inc. Class A",ABNB,"San Francisco, California, USA",Information Technology,0.15%,125.19,1.11,-0.89%
135,General Dynamics Corporation,GD,"Reston, Virginia, USA",Industrials,0.15%,242.87,-0.17,(-0.07%)
136,"Roper Technologies, Inc.",ROP,"Sarasota, Florida, USA",Industrials,0.15%,501.91,4.07,-0.82%
137,Parker-Hannifin Corporation,PH,"Cleveland, Ohio, USA",Industrials,0.14%,396.99,4.06,-1.03%
138,Nxp Semiconductors N.v.,NXPI,"Eindhoven, Netherlands",Information Technology,0.14%,199.58,5.08,-2.61%
139,Freeport-Mcmoran Inc.,FCX,"Phoenix, Arizona, USA",Materials,0.14%,35.85,0.4,-1.13%
140,Target Corporation,TGT,"Minneapolis, Minnesota, USA",Consumer Discretionary,0.14%,111.39,-0.59,(-0.53%)
141,Moody's Corporation,MCO,"New York, New York, USA",Financials,0.14%,321.42,4.02,-1.27%
142,U.S. Bancorp,USB,"Minneapolis, Minnesota, USA",Financials,0.14%,32.62,0.45,-1.40%
143,Arthur J. Gallagher & Co.,AJG,"Rolling Meadows, Illinois, USA",Financials,0.14%,236.59,2.71,-1.16%
144,Amphenol Corporation,APH,"Wallingford, Connecticut, USA",Information Technology,0.14%,83.38,1.48,-1.81%
145,Marriot International Class A,MAR,"Bethesda, Maryland, USA",Consumer Discretionary,0.14%,197.04,4.11,-2.13%
146,"Chipotle Mexican Grill, Inc.",CMG,"Newport Beach, California, USA",Energy,0.14%,"1,810.45",28.97,-1.63%
147,Phillips 66,PSX,"Houston, Texas, USA",Industrials,0.14%,111.78,1.18,-1.07%
148,3m Company,MMM,"Maplewood, Minnesota, USA",Information Technology,0.13%,89.94,1.26,-1.42%
149,Arista Networks,ANET,"Santa Clara, California, USA",Financials,0.13%,196.84,6.99,-3.68%
150,Pnc Financial Services Group,PNC,"Pittsburgh, Pennsylvania, USA",Financials,0.13%,118.13,-0.01,(-0.01%)
151,"Motorola Solutions, Inc.",MSI,"Chicago, Illinois, USA",Communication Services,0.13%,293.32,5.17,-1.79%
152,Transdigm Group Incorporated,TDG,"Cleveland, Ohio, USA",Industrials,0.13%,863.91,6.82,-0.80%
153,"Hca Healthcare, Inc.",HCA,"Nashville, Tennessee, USA",Health Care,0.13%,239.42,2,-0.84%
154,Trane Technologies Plc,TT,"Swords, Ireland",Industrials,0.13%,208.1,3.41,-1.67%
155,Ford Motor Company,F,"Dearborn, Michigan, USA",Consumer Discretionary,0.13%,11.93,0.12,-1.02%
156,"Autozone, Inc.",AZO,"Memphis, Tennessee, USA",Consumer Discretionary,0.13%,"2,602.75",50.05,-1.96%
157,Carrier Global Corporation,CARR,"Palm Beach Gardens, Florida, USA",Information Technology,0.13%,53.15,0.59,-1.12%
158,Norfolk Southern Corp.,NSC,"Norfolk, Virginia, USA",Industrials,0.13%,207.55,6.61,-3.29%
159,Charter Comm Inc Del Cl a,CHTR,"Stamford, Connecticut, USA",Communication Services,0.12%,454.45,5.13,-1.14%
160,Autodesk Inc,ADSK,"San Rafael, California, USA",Information Technology,0.12%,211.78,2.31,-1.10%
161,Valero Energy Corporation,VLO,"San Antonio, Texas, USA",Energy,0.12%,129.2,3.15,-2.50%
162,Cintas Corp,CTAS,"Cincinnati, Ohio, USA",Industrials,0.12%,516.68,4.05,-0.79%
163,Paccar Inc,PCAR,"Bellevue, Washington, USA",Industrials,0.12%,85.08,1.31,-1.56%
164,Welltower Inc.,WELL,"Toledo, Ohio, USA",Real Estate,0.12%,85.67,0.52,-0.61%
165,Microchip Information Technology Inc,MCHP,"Chandler, Arizona, USA",Information Technology,0.12%,78.94,1.48,-1.91%
166,"American International Group, Inc.",AIG,"New York, New York, USA",Financials,0.12%,62.61,1.52,-2.49%
167,Public Storage,PSA,"Glendale, California, USA",Real Estate,0.12%,275.73,3.61,-1.33%
168,Hess Corporation,HES,"New York, New York, USA",Energy,0.12%,161.41,0.43,-0.27%
169,Aflac Inc.,AFL,"Columbus, Georgia, USA",Financials,0.12%,81.09,0.84,-1.05%
170,Sempra,SRE,"San Diego, California, USA",Utilities,0.12%,70.91,1.42,-2.04%
171,Edwards Lifesciences Corp,EW,"Irvine, California, USA",Health Care,0.12%,71.27,0.49,-0.69%
172,Williams Companies Inc.,WMB,"Tulsa, Oklahoma, USA",Energy,0.12%,35.73,0.54,-1.53%
173,"Ecolab, Inc.",ECL,"St. Paul, Minnesota, USA",Materials,0.12%,166.31,1.68,-1.02%
174,Occidental Petroleum Corporation,OXY,"Houston, Texas, USA",Energy,0.12%,65.37,1,-1.55%
175,General Motors Company,GM,"Detroit, Michigan, USA",Consumer Discretionary,0.11%,30.06,0.4,-1.35%
176,"Msci, Inc.",MSCI,"New York, New York, USA",Financials,0.11%,515.46,4.9,-0.96%
177,Crown Castle Inc.,CCI,"Houston, Texas",Real Estate,0.11%,94.58,0.04,-0.04%
178,Kimberly-Clark Corp.,KMB,"Irving, Texas, USA",Consumer Staples,0.11%,121.7,1.29,-1.07%
179,On Semiconductor Corp,ON,"Phoenix, Arizona, USA",Information Technology,0.11%,91.67,2.53,-2.84%
180,Hilton Worldwide Holdings Inc.,HLT,"McLean, Virginia, USA",Consumer Discretionary,0.11%,153.8,3.82,-2.55%
181,Copart Inc,CPRT,"Dallas, Texas, USA",Industrials,0.11%,46.64,0.89,-1.95%
182,Exelon Corporation,EXC,"Chicago, Illinois, USA",Utilities,0.11%,40.17,0.22,-0.55%
183,"Oneok, Inc.",OKE,"Tulsa, Oklahoma, USA",Energy,0.11%,70.07,0.95,-1.37%
184,"Metlife, Inc.",MET,"New York, New York, USA",Financials,0.11%,63.35,1.29,-2.08%
185,Te Connectivity Ltd,TEL,"Schaffhausen, Switzerland",Information Technology,0.11%,124.28,2.83,-2.33%
186,Archer Daniels Midland Company,ADM,"Chicago, Illinois, USA",Consumer Staples,0.11%,74.52,1.2,-1.64%
187,Ross Stores Inc,ROST,"Dublin, California, USA",Consumer Discretionary,0.11%,116.39,4.34,-3.87%
188,Centene Corporation,CNC,"St. Louis, Missouri, USA",Health Care,0.11%,71.12,0.05,-0.07%
189,Truist Financial Corporation,TFC,"Charlotte, North Carolina",Financials,0.11%,29,0.59,-2.08%
190,Paychex Inc,PAYX,"Rochester, New York, USA",Industrials,0.10%,118.73,0.75,-0.64%
191,Old Dominion Freight Line,ODFL,"Thomasville, North Carolina",Industrials,0.10%,412.42,7.34,-1.81%
192,"American Electric Power Company, Inc.",AEP,"Columbus, Ohio, USA",Utilities,0.10%,76.06,1.59,-2.14%
193,Biogen Inc.,BIIB,"Cambridge, Massachusetts",Health Care,0.10%,267.94,5.68,-2.17%
194,"Digital Realty Trust, Inc.",DLR,"San Francisco, California, USA",Real Estate,0.10%,123.72,1.12,-0.91%
195,"Fortinet, Inc.",FTNT,"Sunnyvale, California, USA",Information Technology,0.10%,59.14,1.38,-2.39%
196,Halliburton Company,HAL,"Houston, Texas, USA",Energy,0.10%,42.36,-0.07,(-0.16%)
197,Constellation Energy Corporation,CEG,"Baltimore, Maryland",Utilities,0.10%,116.81,3.12,-2.74%
198,Capital One Financial,COF,"McLean, Virginia, USA",Financials,0.10%,97.15,1.95,-2.05%
199,"Constellation Brands, Inc.",STZ,"Victor, New York",Consumer Discretionary,0.10%,234.79,3.1,-1.34%
200,"The Travelers Companies, Inc.",TRV,"New York, New York, USA",Financials,0.10%,167.65,3.44,-2.09%
201,Nucor Corporation,NUE,"Charlotte, North Carolina",Materials,0.10%,149,1.94,-1.32%
202,Iqvia Holdings Inc.,IQV,"Durham, North Carolina",Health Care,0.10%,198.98,-0.38,(-0.19%)
203,"General Mills, Inc.",GIS,"Minneapolis, Minnesota, USA",Consumer Staples,0.10%,63.25,0.21,-0.33%
204,"Verisk Analytics, Inc.",VRSK,"Jersey City, New Jersey, USA",Industrials,0.10%,242.52,-5.08,(-2.05%)
205,Realty Income Corporation,O,"San Diego, California, USA",Real Estate,0.10%,50.74,0.15,-0.30%
206,Johnson Controls International Plc,JCI,"Cork, Ireland, USA",Industrials,0.10%,52.64,1,-1.94%
207,Idexx Laboratories Inc,IDXX,"Westbrook, Maine, USA",Health Care,0.10%,429.55,3.37,-0.79%
208,Dow Inc.,DOW,"Midland, Michigan, USA",Materials,0.10%,50.19,0.46,-0.92%
209,Monster Beverage Corporation,MNST,"Corona, California, USA",Consumer Staples,0.10%,48.67,0.95,-1.99%
210,"Simon Property Group, Inc.",SPG,"Indianapolis, Indiana",Real Estate,0.10%,108.33,1.3,-1.21%
211,"Corteva, Inc.",CTVA,"Indianapolis, Indiana, USA",Materials,0.10%,49.81,0.26,-0.52%
212,Baker Hughes Company,BKR,"Houston, Texas, USA",Energy,0.10%,35.17,0.32,-0.92%
213,"Dupont De Nemours, Inc.",DD,"Wilmington, Delaware",Materials,0.10%,75.29,-0.1,(-0.13%)
214,"Ametek, Inc.",AME,"Berwyn, Pennsylvania, USA",Industrials,0.10%,150.47,1.83,-1.23%
215,"Dominion Energy, Inc",D,"Richmond, Virginia, USA",Utilities,0.10%,42.22,0.34,-0.81%
216,Fastenal Co,FAST,"Winona, Minnesota, USA",Industrials,0.09%,59.88,-0.24,(-0.40%)
217,"Rockwell Automation, Inc.",ROK,"Milwaukee, Wisconsin, USA",Industrials,0.09%,291.78,3.46,-1.20%
218,"Prudential Financial, Inc.",PRU,"Newark, New Jersey, USA",Financials,0.09%,95.7,1.83,-1.95%
219,"Ameriprise Financial, Inc.",AMP,"Minneapolis, Minnesota, USA",Financials,0.09%,330.7,5.79,-1.78%
220,Pg&e Corporation,PCG,"San Francisco, California, USA",Utilities,0.09%,16.41,0.13,-0.80%
221,Kenvue Inc.,KVUE,"Skillman, Montgomery, New Jersey, USA",Consumer Staples,0.09%,19.54,0.17,-0.88%
222,"Moderna, Inc.",MRNA,"Cambridge, Massachusetts",Health Care,0.09%,91.94,-6.36,(-6.47%)
223,Cognizant Information Technology Solutions,CTSH,"Teaneck, New Jersey",Information Technology,0.09%,66.77,0.99,-1.51%
224,Otis Worldwide Corporation,OTIS,"Farmington, Connecticut, USA",Industrials,0.09%,80.51,0.51,-0.64%
225,"L3harris Technologies, Inc.",LHX,"Melbourne, Florida, USA",Industrials,0.09%,179,1.76,-0.99%
226,"Kinder Morgan, Inc.",KMI,"Houston, Texas, USA",Energy,0.09%,17.28,0.17,-0.99%
227,"W.W. Grainger, Inc.",GWW,"Lake Forest, Illinois, USA",Industrials,0.09%,731.78,0.32,-0.04%
228,Costar Group Inc,CSGP,"Washington, D.C.",Real Estate,0.09%,81.62,1.32,-1.64%
229,"Yum! Brands, Inc.",YUM,"Louisville, Kentucky, USA",Consumer Discretionary,0.09%,118.45,1.57,-1.34%
230,Electronic Arts Inc,EA,"Redwood City, California, USA",Communication Services,0.09%,131.14,-0.15,(-0.11%)
231,The Estee Lauder Companies Inc. Class A,EL,"New York, New York, USA",Consumer Discretionary,0.09%,140.21,2.53,-1.84%
232,Agilent Technologies Inc.,A,"Santa Clara, California, USA",Health Care,0.09%,111.5,0.99,-0.90%
233,Cummins Inc.,CMI,"Columbus, Indiana, USA",Industrials,0.09%,228.25,0.53,-0.23%
234,Bank of New York Mellon Corporation,BK,"New York, New York, USA",Financials,0.09%,41.84,0.66,-1.60%
